id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,82,2020
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,78,2020
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,65,2010
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,71,2020
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2010
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,52,2000
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,68,2010
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,74,2020
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,79,2010
11,Block Party Anthem,Crowd Control,hip-hop,confident,0.78,96,0.72,0.91,0.08,83,2020
12,Overdrive,Pulse Grid,edm,energetic,0.96,138,0.68,0.95,0.03,77,2020
13,Dirt Road Hymn,The Hollows,country,nostalgic,0.43,100,0.70,0.53,0.80,61,2010
14,Adagio in Grey,Vienna Strings,classical,melancholic,0.22,66,0.34,0.28,0.97,38,2000
15,Velvet Hours,Sable Rose,r&b,romantic,0.54,88,0.76,0.69,0.48,72,2020
16,Campfire Lullaby,Cedar & Ash,folk,peaceful,0.29,84,0.67,0.45,0.91,42,2010
17,Iron Curtain,Wrath Engine,metal,aggressive,0.97,174,0.28,0.58,0.04,55,2010
18,River Bottom Blues,Dusty Hale,blues,soulful,0.47,76,0.61,0.52,0.85,48,2000
19,Island Time,Coral Drift,reggae,uplifting,0.60,92,0.83,0.78,0.55,63,2020
20,Neon Fog,Static Daydream,electronic,dreamy,0.53,104,0.64,0.66,0.30,66,2020
